Job_Title,Salary_Estimate,Job_Description,Rating,Company_Name,Location,Size,Founded,Type_of_ownership,Industry,Sector,Revenue
Data Scientist,$106K - $168K (Glassdoor est.),"Job Title: Data Scientist - 100% Remote
Location: Remote (Open to candidates with H1B, GC, or USC status)
Experience Level: 9+ years
Job Type: Full-Time
Job Description:
Position Overview: As a Data Scientist at [Your Company Name], you will play a critical role in designing and implementing advanced data-driven solutions. You will work with a team of talented professionals in a 100% remote setup, ensuring that our clients' data is leveraged to its fullest potential to drive business success.",-1,Pashtek,"Arizona City, AZ",1 to 50 Employees,-1,Company - Private,-1,-1,Unknown / Non-Applicable
Data Scientist,$88K - $133K (Glassdoor est.),"Spalding Consulting, Inc. is seeking a Data Scientist at MCAS Cherry Point at Havelock, NC. Spalding Consulting, Inc. is a professional services company delivering cutting-edge solutions to the Department of Defense since 2001. Our expert-level solutions include software development, information technology, program management, financial management and business intelligence services. Spalding Consulting offers competitive compensation, career development, flexible work schedules and excellent benefits.

Position Type: Full-Time

Come join our team as we support Naval Aviation at Marine Corps Air Station Cherry Point. If you seek a dynamic work environment that challenges you to learn and grow in data analysis, visualization, AI and ML, we have the opportunity for you.






Must be eligible to obtain a Secret clearance. Requirements to obtain a clearance include US Citizenship, security investigation, etc.


BS or BA degree in Engineering, Computer Science, Information Systems, Business, Mathematics, Statistics or Relevant Technical Discipline. Preferred. Additional years of experience may replace degree requirements.

Spalding Consulting, Inc. is committed to providing equal employment opportunities to all applicants and employees. We will not discriminate against any employee or applicant on the basis of race, color, ethnic origin, national origin, creed, religion, political belief, sex (including pregnancy), sexual orientation, gender identity, marital status, age, military status, physical or mental disability, or any other legally protected basis, in accordance with applicable federal, state or local laws. Spalding Consulting, Inc. is an Affirmative Action/Equal Opportunity Employer and encourages minorities, women, disabled, and veterans to apply for job openings within our company.",4.0,"Spalding Consulting, Inc.
4.0","Havelock, NC",201 to 500 Employees,2001,Company - Private,Aerospace & Defense,Aerospace & Defense,$25 to $100 million (USD)
Data Scientist,Employer Provided Salary:$122K - $175K,"Lawrence Berkeley National Laboratory has multiple openings for a Data Scientist in Berkeley, CA.

Duties: Create, develop and maintain a broad array of complex numerical models and programming scripts or tools in order to analyze challenging technical and energy policy issues. Demonstrate good judgment in selecting methods and techniques. Create, manage, and utilize complex databases with a diverse scope, including technical and economic data. Identify meaningful insights from data. Investigate, create and develop new methods and apply those concepts to energy use and lifecycle cost analysis. Contribute to federal register notices, technical support documents and memos, summarizing methods, data sources, results, conclusions, and/or energy and economic implications. Develop presentations for public meetings. Manage multiple tasks under tight deadlines and uncertain schedules. Offer guidance and direction to more junior-level researchers.",4.1,"Lawrence Berkeley National Laboratory
4.1","San Francisco, CA",1001 to 5000 Employees,1931,Government,Research & Development,Management & Consulting,$500 million to $1 billion (USD)
Junior Data Scientist,Employer Provided Salary:$70K - $105K,"Company Description

Read this first: If you have what it takes for this job, but don't meet all the criteria within the job description, we encourage you to apply. We'd like to connect with you to see what skills and experience you could bring to our team.
Publicis Media is one of Publicis Groupe’s four solution hubs, aligning all of Publicis Groupe’s media agencies and operations. Publicis Groupe (Euronext Paris Exchange: FR0000130577; CAC 40 index), is the world’s third largest communications group. The Data, Technology and Innovation Global Practice was created to deliver best-in-class programmatic solutions as well as to consolidate Publicis Media’s data and technology to transform our business from a service business to a platform business.",3.9,"Publicis Media
3.9","New York, NY",10000+ Employees,1926,Company - Public,Advertising & Public Relations,Media & Communication,$5 to $10 billion (USD)
Entry Level - Associate Data Scientist - Commercial,Employer Provided Salary:$93.00 - $121.00 Per Hour,"Introduction
As a Associate Data Scientist at IBM, you will help transform our clients’ data into tangible business value by analyzing information, communicating outcomes and collaborating on product development. Work with Best in Class open source and visual tools, along with the most flexible and scalable deployment options. Whether it’s investigating patient trends or weather patterns, you will work to solve real world problems for the industries transforming how we live.

Your Role and Responsibilities
You uncover the stories hidden in data and find patterns in the numbers. As an Associate Data Scientist, you’ll put this skill to work to solve business problems by preparing, analyzing, and understanding data to deliver insight, predict emerging trends, and provide recommendations for better outcomes. You’ll use a variety of data (structured, unstructured, IoT streaming), analytics, AI tools, and programming languages often using a cloud infrastructure to handle the volume and veracity of data streams.

Armed with data, modeling expertise, and analytic results, as an Associate Data Scientist, you’ll formulate conclusions and recommendations to stakeholders in an organization's leadership structure, leveraging strong consulting, communication, visualization, and storytelling skills.



We have a number of positions open in these locations:




Willingness to travel up to 100%.",3.9,"IBM
3.9","Atlanta, GA",10000+ Employees,1911,Company - Public,Information Technology Support Services,Information Technology,$10+ billion (USD)
"Data Scientist, Analytics",Employer Provided Salary:$112K,"3+ years of domain experience in a consumer internet business, or in a high-velocity, high-growth product or team
Expert SQL skills and proficiency in Python/R
Experience using data to create insight and drive business results
Fluency in data analysis and communication around data, including time series analysis, experimentation, data visualization, and defining the KPI strategy for your business
Excellent team player with the ability to maintain relationships
Bachelor's Degree
If you are interested in this position, please apply on Twitch's Career site https://www.twitch.tv/jobs/en/


Launched in 2011, Twitch is a global community that comes together each day to create multiplayer entertainment: unique, live, unpredictable experiences created by the interactions of millions. We bring the joy of co-op to everything, from casual gaming to world-class esports to anime marathons, music, and art streams. Twitch also hosts TwitchCon, where we bring everyone together to celebrate and grow their personal interests and passions. We're always live at Twitch.


As a Data Scientist, Analytics member of the Data Platform - Insights team, you'll provide data analysis and support for platform, service, and operational engineering teams at Twitch, shaping the way success is measured. Defining what questions should be asked and scaling analytics methods and tools to support our growing business. Additionally, you will help support the vision for business analytics, solutions architecture for data related business constructs, as well as tactical execution such as experiment analysis and campaign performance reporting. You are paving the way for high-quality, high-velocity decisions and will report to the Manager, Data Science.

For this role, we're looking for an experienced data staff who will oversee data instrumentation, dashboard/report building, metrics reviews, inform team investments, guidance on success/failure metrics and ad-hoc analysis. You will also work with technical and non-technical staff members throughout the company, and your effort will have an impact on hundreds of partners at Twitch



We are open to hiring candidates to work out of one of the following locations:

Irvine, CA, USA | Seattle, WA, USA | Virtual Location - CA

We are an equal opportunity employer and value diversity at Twitch. We do not discriminate on the basis of race, religion, color, national origin, gender, gender identity, sexual orientation, age, marital status, veteran status, or disability status, or other legally protected status.

Pursuant to the Los Angeles Fair Chance Ordinance, we will consider for employment qualified applicants with arrest and conviction records.

Pursuant to the San Francisco Fair Chance Ordinance, we will consider for employment qualified applicants with arrest and conviction records.

Our compensation reflects the cost of labor across several US geographic markets. The base pay for this position ranges from $111,600/year in our lowest geographic market up to $212,800/year in our highest geographic market. Pay is based on a number of factors including market location and may vary depending on job-related knowledge, skills, and experience. Amazon is a total compensation company. Dependent on the position offered, equity, sign-on payments, and other forms of compensation may be provided as part of a total compensation package, in addition to a full range of medical, financial, and/or other benefits. For more information, please visit https://www.aboutamazon.com/workplace/employee-benefits. Applicants should apply via our internal or external career site.",3.7,"Twitch Interactive, Inc.
3.7",California,10000+ Employees,1994,Company - Public,Internet & Web Services,Information Technology,$10+ billion (USD)
Grace Hopper 2023: Data Scientist,$82K - $123K (Glassdoor est.),"Our Opportunity:
Chewy is looking for Data Scientists to join our Data Science team in Plantation, FL, Boston, MA and Minneapolis, MN. The teams use analytical and statistical techniques to understand and serve the needs of our business processes. Developing data-driven solutions, we are looking for data scientists who are committed to solving business problems using cutting edge technologies and developing data-driven marketing solutions.
As part of the data science team at Chewy, you will have the opportunity to provide structure to business problems for new and existing Chewy customers by applying data science principles to design, test, implement, and develop data-based solutions, including reporting, auditing, and preparing large databases for statistical analysis.",3.5,"Chewy
3.5","Plantation, FL",10000+ Employees,2011,Company - Public,Pet & Pet Supplies Stores,Retail & Wholesale,$5 to $25 million (USD)
Data Scientist,Employer Provided Salary:$112K - $165K,"No Relocation Assistance Offered
# 154386 - Piscataway, New Jersey, United States
Ready for a career that combines global collaboration, continuous learning, and positive impact? At Colgate, we offer you the chance to be a part of something bigger than just a job!

Our iconic brands, sustainability commitment, and innovative culture set the stage for an inspiring workplace. We value creativity, experimentation, and authenticity, driving our enduring success and building a future to smile about for our employees, consumers, and communities.

As a Data Scientist on our Advanced Analytics team, you'll shape Colgate's future by developing powerful data products, implementing machine learning models, and optimizing our data science architecture. Join our collaborative team of innovators and technologists.
Your role? Lead advanced analytics projects for our Global Supply Chain, using your discernment and technical skills to generate insights that drive business decisions.

Unlock a career that leaves you smiling every day at Colgate!",4.2,"Colgate-Palmolive
4.2","Piscataway, NJ",10000+ Employees,1806,Company - Public,Consumer Product Manufacturing,Manufacturing,$10+ billion (USD)
Data Scientist,Employer Provided Salary:$130K - $150K,"Roles & Responsibilities: Provides support of Artificial Intelligence (AI), to include machine learning, to analyze data for accuracy, authenticity, expectancy, timeliness, relevancy, intelligence gaps, and viability. Identifies and develops innovative investigative, statistical, and predictive value of DEA’s data holdings by evaluating through data analysis and integration. Interprets results from multiple sources using a variety of techniques, ranging from simple data aggregation via statistical analysis to complex data mining. Prepares big data, implements data models, and develops databases to support the business solutions. Works on complex technical projects or business issues requiring state of the art technical or industry knowledge. Develops, deploys, and manages statistical, unsupervised, and supervised Learning Data Models with accuracy, precision, and sensitivities. Performs mathematical/statistician modeling to organize, optimize, model, research, mine, and predict new data. Identifies accuracies, precision, and sensitivities. Validates machine learning with statistical modeling. Designs algorithms such as neural networks, decision trees, and surrogate models. Uses Data Lakes, chunking, large file shares, or increased time limits for storage needs; uses serverless computing like Athena/Lambda to handle concurrency, or increased time limits; and uses extract, transform, load standard data formats, or parsing due to lack of infrastructure.",-1,Ai Vantage,Remote,Unknown,-1,Company - Public,-1,-1,Unknown / Non-Applicable
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Data Scientist - NLP,$121K - $169K (Glassdoor est.),"You are a research scientist and engineer who wants to work in the areas of machine learning, natural language processing, information extraction, graphical models, summarization, information retrieval, recommend systems, and/or knowledge graphs. You will bring new ideas, evangelizing them, and shepherding their adoption within the team. You extract and identify relevant, meaningful, and actionable information from structured and unstructured data in real-time and provide advanced ways of accessing this data (such as search, summarization, and recommendations).
What you will do:
Proactively explore, research, describe, and analyze data.
Develop tools and strategies related to text analytics, machine learning, and semantic enrichment",3.5,"Bloomberg BNA
3.4","Washington, DC",1001 to 5000 Employees,1929,Company - Private,Publishing,Media & Communication,$100 to $500 million (USD)
"Data Scientist, Product",Employer Provided Salary:$160K - $255K,"About Us:
We're on a mission to make it possible for every person, team, and company to be able to tailor their software to solve any problem and take on any challenge. Computers may be our most powerful tools, but most of us can't build or modify the software we use on them every day. At Notion, we want to change this with focus, design, and craft.
We've been working on this together since 2016, and have customers like Pixar, Mitsubishi, Figma, Plaid, Match Group, and thousands more on this journey with us. Today, we're growing fast and excited for new teammates to join us who are the best at what they do. We're passionate about building a company as diverse and creative as the millions of people Notion reaches worldwide.

Notion is an in person company, and currently requires its employees to come to the office for two Anchor Days (Mondays & Thursdays) and requests that employees spend the majority of their week in the office (including a third day).",4.8,"Notion
4.9","New York, NY",501 to 1000 Employees,2016,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable
Data Scientist II,Employer Provided Salary:$102K - $152K,"Job Description
Zendesk is looking for a Data Scientist to join Enterprise Data & Analytics.
In the Decision Science group, you will be a member of a small but mighty team tasked with the most complicated and exciting problems facing the business!
On any given day, you may be exploring new datasets, learning the intricacies of a business process, building models, perfecting visualizations, or coordinating the operationalization of an asset. You’ll work with a collaborative team where you will quickly develop wide exposure to different functions and best practices for applying data science in very human environments.
Most importantly, we build things that matter! The insights we uncover and tools we develop immediately benefit our stakeholders. We strive to fail fast and iterate quickly so that we make the biggest difference with our business partners.

The US annualized base salary range for this position is $102,000.00-$152,000.00. This position may also be eligible for bonus, benefits, or related incentives. While this range reflects the minimum and maximum value for new hire salaries for the position across all US locations, the offer for the successful candidate for this position will be based on job related capabilities, applicable experience, and other factors such as work location. Please note that the compensation details listed in US role postings reflect the base salary only (or OTE for commissions based roles), and do not include bonus, benefits, or related incentives.",3.6,"Zendesk
3.6",Remote,1001 to 5000 Employees,2007,Company - Private,Enterprise Software & Network Solutions,Information Technology,$1 to $5 billion (USD)
Data Scientist,Employer Provided Salary:$125K - $145K,"Job Location
Boston
Job Description
The Procter & Gamble Business Service Company is seeking a Data Scientist (Boston, MA) to develop new Natural Language Processing (NLP) capabilities and apply them to projects including voice of consumer (eCommerce Ratings & Reviews, Social Media, Consumer comments from primary research, etc.). Analyze verbatims for consumer complaints (call center data), innovation opportunity discovery (qualitative consumer research), and consumption evaluation for in-market products. Build advanced large-scale machine learning models to bring direct business impacts such as facilitating product developers and products researchers and market researchers to better understand consumers’ attitude towards products without needing to perform large scale consumer tests, researching competitors to gain insight into their products and predicting emerging trends and topics using social media data. Communicate state-of-the-art NLP techniques with other Data Scientists and business leaders. Utilize strong Python and cloud computing skills along with tools such as PyTorch or TensorFlow to derive consumer related business insights. Local telecommuting permitted up to 3 days per week.
Full time
R000089048
Experienced Professionals (Job Segmentation)
$125,000.00 - $145,000.00 / year",4.1,"Procter & Gamble
4.1","Boston, MA",10000+ Employees,1837,Company - Public,Consumer Product Manufacturing,Manufacturing,$10+ billion (USD)
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Junior Data Scientist,Employer Provided Salary:$60K - $64K,"Background:
DonorSearch is the leading provider of prospect research solutions and AI-powered technologies, serving over 6,800 nonprofit organizations across the US. We are family-owned, headquartered in Maryland, and have a rapidly-growing remote workforce in every U.S. timezone. With our outstanding reputation and team of innovative professionals, we seek someone to join us to expand our brand and make a lasting impact on the world.
At DonorSearch, we value: Innovation, Excellence, Growth, Collaboration, and Quality.
Job Summary:",4.0,"DonorSearch
3.8",Remote,1 to 50 Employees,-1,Company - Public,Accounting & Tax,Financial Services,Unknown / Non-Applicable
"Data Scientist (Omics data analysis (genetics, genomics and proteomics))",Employer Provided Salary:$51.00 - $52.00 Per Hour,"Job Description:
Responsibilities:
Project involves developing multi-omics directed graph networks based on causal inference framework based on multiple data types (e.g., clinical, RNA-seq, epigenetic, proteomic, and/or genetic data).
Skills:
Must be expert in at least one area of causal inference such as interpretable machine learning or data fusion problem, e.g., to reduce space of plausible causal relationships and how data from multiple sources can be combined to make causal inferences.
Experience with machine learning in the context of causal inference, so that the predictive models are more than just a black box, is strongly desired.",3.7,"Tellus Solutions
3.7",Remote,51 to 200 Employees,2006,Company - Private,Information Technology Support Services,Information Technology,$5 to $25 million (USD)
Data Scientist,Employer Provided Salary:$114K - $122K,"About us
We are professional and agile.
Our work environment includes:
Modern office setting
Food provided
Responsibilities:
- Utilize data mining techniques to extract insights and patterns from large datasets
- Develop and implement algorithms and models for predictive analytics
- Collaborate with cross-functional teams to identify business problems and provide data-driven solutions
- Conduct statistical analysis and hypothesis testing to support decision-making processes
- Create data visualizations and reports to communicate findings to stakeholders
- Stay up-to-date with the latest advancements in data science and analytics",-1,Helix Tech IT solution,"Chapel Hill, NC",-1,-1,-1,-1,-1,-1
Data Scientist,Employer Provided Salary:$130K - $146K,"Requisition ID: 377004
Work Area: Information Technology
Expected Travel: 0%
Career Status: Professional
Employment Type: Regular Full Time
Career Level: T2
Original Posting Date: 7/17/23
Recruiter Name: J.L. Andal
Additional Locations:

Original Posting Date: 7/17/2023
Data Scientist",4.4,"SAP
4.4","Palo Alto, CA",10000+ Employees,1972,Company - Public,Enterprise Software & Network Solutions,Information Technology,$10+ billion (USD)
Data Scientist,Employer Provided Salary:$100K - $130K,"At Fulcrum, we provide cutting-edge data science consulting and software solutions to help companies solve challenging business problems. Through the utilization of our innovative products and dedicated team, clients are able to operate more efficiently, manage risk, and make informed business decisions every day. Fulcrum Analytics has stood at the forefront of data, analytics, and innovative software for over 25 years, offering sophisticated solutions, groundbreaking technologies, and winning strategies that help companies achieve their targeted results.
Role Description:
The Data Scientist role is expected to develop analytical, statistical, and machine learning solutions to client business problems. The Data Scientist will have a number of responsibilities, including:",-1,Fulcrum Analytics,Remote,-1,-1,-1,-1,-1,-1
Data Scientist,Employer Provided Salary:$60K - $140K,"We are looking for junior, mid-level or senior-level data scientists with the following:
Demonstrated software development experience with Python in a Unix environment.
Practical knowledge in Python Machine Learning and Data Visualization
Practical knowledge in Data ETL such as working with: Data loading from SQL, CSV, JSON, Excel, etc., Web scraping (Beautiful Soup, Scrapy, etc.) and Data Wrangling/Cleaning
Experience using the Unix command line.
Proficiency in statistical packages using any of the following: Python, R, STATA, SPSS, etc.",-1,Tech brothers infoservices,Remote,Unknown,-1,Company - Public,-1,-1,Unknown / Non-Applicable
